actual_arrival_datetime,actual_departure_datetime,actual_fuel_consumption_gm_per_mile,actual_windspeed_kts,arrival_delay_seconds,service_id,station,station_call_id
2050-07-09 05:06,2050-07-09 06:00,60.05,3,4,JP_0,Iwade,JP_0_205007090506
2050-07-09 07:09,2050-07-09 08:00,79.56,3,5,JP_0,Toba,JP_0_205007090709
2050-07-09 08:21,2050-07-09 09:00,179.97,3,11,JP_0,Gero,JP_0_205007090821
2050-07-09 09:09,2050-07-09 10:00,80.28,3,4,JP_0,Ina,JP_0_205007090909
2050-07-09 10:13,2050-07-09 11:00,106.98,3,7,JP_0,Suzaka,JP_0_205007091013
2050-07-09 11:08,2050-07-09 12:00,78.9,3,4,JP_0,Annaka,JP_0_205007091108
2050-07-09 13:53,2050-07-09 15:00,836.89,3,57,JP_0,Hita,JP_0_205007091352
2050-07-09 16:04,2050-07-09 17:00,548.47,3,32,JP_0,Yao,JP_0_205007091603
2050-07-09 17:06,2050-07-09 18:00,58.93,3,3,JP_0,Iwade,JP_0_205007091706
2050-07-09 18:19,2050-07-09 19:00,161.9,3,9,JP_0,Komono,JP_0_205007091819
2050-07-09 19:09,2050-07-09 20:00,73.56,0,3,JP_0,Toba,JP_0_205007091909
2050-07-09 20:21,2050-07-09 21:00,179.97,0,6,JP_0,Gero,JP_0_205007092021
2050-07-09 21:09,2050-07-09 22:00,74.22,0,2,JP_0,Ina,JP_0_205007092109
2050-07-09 22:13,2050-07-09 23:00,118.24,0,4,JP_0,Suzaka,JP_0_205007092213
2050-07-09 23:08,2050-07-10 00:00,68.67,0,2,JP_0,Annaka,JP_0_205007092308
2050-07-10 01:52,2050-07-10 03:00,864.78,0,30,JP_0,Hita,JP_0_205007100152
2050-07-10 04:03,2050-07-10 05:00,543.2,0,17,JP_0,Yao,JP_0_205007100403
2050-07-10 05:06,2050-07-10 06:00,57.8,0,2,JP_0,Iwade,JP_0_205007100506
2050-07-10 06:19,2050-07-10 07:00,171.52,0,5,JP_0,Komono,JP_0_205007100619
2050-07-10 07:09,2050-07-10 08:00,73.56,0,2,JP_0,Toba,JP_0_205007100709
2050-07-10 08:21,2050-07-10 09:00,159.0,0,6,JP_0,Gero,JP_0_205007100821
2050-07-10 09:09,2050-07-10 10:00,78.77,0,2,JP_0,Ina,JP_0_205007100909
2050-07-10 10:13,2050-07-10 11:00,122.75,0,4,JP_0,Suzaka,JP_0_205007101013
2050-07-10 11:08,2050-07-10 12:00,70.14,0,2,JP_0,Annaka,JP_0_205007101108
2050-07-10 13:52,2050-07-10 15:00,994.97,0,30,JP_0,Hita,JP_0_205007101352
2050-07-10 16:03,2050-07-10 17:00,506.28,0,17,JP_0,Yao,JP_0_205007101603
2050-07-10 17:06,2050-07-10 18:00,56.68,0,2,JP_0,Iwade,JP_0_205007101706
2050-07-10 18:19,2050-07-10 19:00,149.08,0,5,JP_0,Komono,JP_0_205007101819
2050-07-10 19:09,2050-07-10 20:00,70.55,0,2,JP_0,Toba,JP_0_205007101909
2050-07-10 20:21,2050-07-10 21:00,159.0,0,6,JP_0,Gero,JP_0_205007102021
2050-07-10 21:09,2050-07-10 22:00,74.22,0,2,JP_0,Ina,JP_0_205007102109
2050-07-10 22:13,2050-07-10 23:00,118.24,0,4,JP_0,Suzaka,JP_0_205007102213
2050-07-10 23:08,2050-07-11 00:00,69.41,0,2,JP_0,Annaka,JP_0_205007102308
2050-07-11 01:52,2050-07-11 03:00,846.19,0,30,JP_0,Hita,JP_0_205007110152
2050-07-11 04:03,2050-07-11 05:00,506.28,0,17,JP_0,Yao,JP_0_205007110403
2050-07-11 05:06,2050-07-11 06:00,52.75,0,2,JP_0,Iwade,JP_0_205007110506
2050-07-11 06:19,2050-07-11 07:00,145.87,0,5,JP_0,Komono,JP_0_205007110619
2050-07-11 07:09,2050-07-11 08:00,79.56,0,2,JP_0,Toba,JP_0_205007110709
2050-07-11 08:21,2050-07-11 09:00,157.25,0,6,JP_0,Gero,JP_0_205007110821
2050-07-11 09:09,2050-07-11 10:00,74.22,0,2,JP_0,Ina,JP_0_205007110909
2050-07-11 10:13,2050-07-11 11:00,119.37,0,4,JP_0,Suzaka,JP_0_205007111013
2050-07-11 11:08,2050-07-11 12:00,71.6,0,2,JP_0,Annaka,JP_0_205007111108
2050-07-11 13:52,2050-07-11 15:00,855.49,0,30,JP_0,Hita,JP_0_205007111352
2050-07-11 16:03,2050-07-11 17:00,559.02,0,17,JP_0,Yao,JP_0_205007111603
2050-07-11 17:06,2050-07-11 18:00,56.68,0,2,JP_0,Iwade,JP_0_205007111706
2050-07-11 18:19,2050-07-11 19:00,157.09,0,5,JP_0,Komono,JP_0_205007111819
2050-07-11 19:09,2050-07-11 20:00,75.81,0,2,JP_0,Toba,JP_0_205007111909
2050-07-11 20:21,2050-07-11 21:00,171.23,0,6,JP_0,Gero,JP_0_205007112021
2050-07-11 21:09,2050-07-11 22:00,79.53,0,2,JP_0,Ina,JP_0_205007112109
2050-07-11 22:13,2050-07-11 23:00,109.23,0,4,JP_0,Suzaka,JP_0_205007112213
2050-07-11 23:08,2050-07-12 00:00,67.94,0,2,JP_0,Annaka,JP_0_205007112308
2050-07-12 01:52,2050-07-12 03:00,836.89,0,30,JP_0,Hita,JP_0_205007120152
2050-07-12 04:03,2050-07-12 05:00,495.73,0,17,JP_0,Yao,JP_0_205007120403
2050-07-12 05:06,2050-07-12 06:00,60.05,0,2,JP_0,Iwade,JP_0_205007120506
2050-07-12 06:19,2050-07-12 07:00,173.12,0,5,JP_0,Komono,JP_0_205007120619
2050-07-12 07:09,2050-07-12 08:00,69.05,0,2,JP_0,Toba,JP_0_205007120709
2050-07-12 08:21,2050-07-12 09:00,174.73,0,6,JP_0,Gero,JP_0_205007120821
2050-07-12 09:09,2050-07-12 10:00,77.25,0,2,JP_0,Ina,JP_0_205007120909
2050-07-12 10:13,2050-07-12 11:00,111.49,0,4,JP_0,Suzaka,JP_0_205007121013
2050-07-12 11:08,2050-07-12 12:00,78.17,0,2,JP_0,Annaka,JP_0_205007121108
2050-07-12 13:52,2050-07-12 15:00,994.97,0,30,JP_0,Hita,JP_0_205007121352
2050-07-12 16:03,2050-07-12 17:00,543.2,0,17,JP_0,Yao,JP_0_205007121603
2050-07-12 17:06,2050-07-12 18:00,51.07,0,2,JP_0,Iwade,JP_0_205007121706
2050-07-12 18:19,2050-07-12 19:00,144.27,0,5,JP_0,Komono,JP_0_205007121819
2050-07-12 19:09,2050-07-12 20:00,75.81,0,2,JP_0,Toba,JP_0_205007121909
2050-07-12 20:21,2050-07-12 21:00,176.47,0,6,JP_0,Gero,JP_0_205007122021
2050-07-12 21:09,2050-07-12 22:00,73.47,0,2,JP_0,Ina,JP_0_205007122109
2050-07-12 22:13,2050-07-12 23:00,102.48,0,4,JP_0,Suzaka,JP_0_205007122213
2050-07-12 23:08,2050-07-13 00:00,66.48,0,2,JP_0,Annaka,JP_0_205007122308
2050-07-13 01:52,2050-07-13 03:00,929.88,0,30,JP_0,Hita,JP_0_205007130152
2050-07-13 04:03,2050-07-13 05:00,495.73,0,17,JP_0,Yao,JP_0_205007130403
2050-07-13 05:06,2050-07-13 06:00,60.05,0,2,JP_0,Iwade,JP_0_205007130506
2050-07-13 06:19,2050-07-13 07:00,149.08,0,5,JP_0,Komono,JP_0_205007130619
2050-07-13 07:09,2050-07-13 08:00,71.3,0,2,JP_0,Toba,JP_0_205007130709
2050-07-13 08:21,2050-07-13 09:00,174.73,0,6,JP_0,Gero,JP_0_205007130821
2050-07-13 09:09,2050-07-13 10:00,76.5,0,2,JP_0,Ina,JP_0_205007130909
2050-07-13 10:13,2050-07-13 11:00,115.99,0,4,JP_0,Suzaka,JP_0_205007131013
2050-07-13 11:08,2050-07-13 12:00,71.6,0,2,JP_0,Annaka,JP_0_205007131108
2050-07-13 13:52,2050-07-13 15:00,836.89,0,30,JP_0,Hita,JP_0_205007131352
2050-07-13 16:03,2050-07-13 17:00,559.02,0,17,JP_0,Yao,JP_0_205007131603
2050-07-13 17:06,2050-07-13 18:00,52.19,0,2,JP_0,Iwade,JP_0_205007131706
2050-07-13 18:19,2050-07-13 19:00,155.49,0,5,JP_0,Komono,JP_0_205007131819
2050-07-13 19:09,2050-07-13 20:00,72.8,0,3,JP_0,Toba,JP_0_205007131909
2050-07-13 20:21,2050-07-13 21:00,169.48,0,6,JP_0,Gero,JP_0_205007132021
2050-07-13 21:09,2050-07-13 22:00,71.95,0,3,JP_0,Ina,JP_0_205007132109
2050-07-13 22:13,2050-07-13 23:00,102.48,0,4,JP_0,Suzaka,JP_0_205007132213
2050-07-13 23:08,2050-07-14 00:00,78.17,0,2,JP_0,Annaka,JP_0_205007132308
2050-07-14 01:52,2050-07-14 03:00,846.19,0,38,JP_0,Hita,JP_0_205007140152
2050-07-14 04:03,2050-07-14 05:00,479.91,0,22,JP_0,Yao,JP_0_205007140403
2050-07-14 05:06,2050-07-14 06:00,55.56,0,2,JP_0,Iwade,JP_0_205007140506
2050-07-14 06:19,2050-07-14 07:00,171.52,0,5,JP_0,Komono,JP_0_205007140619
2050-07-14 07:09,2050-07-14 08:00,79.56,0,2,JP_0,Toba,JP_0_205007140709
2050-07-14 08:21,2050-07-14 09:00,167.74,0,6,JP_0,Gero,JP_0_205007140821
2050-07-14 09:09,2050-07-14 10:00,81.8,0,2,JP_0,Ina,JP_0_205007140909
2050-07-14 10:13,2050-07-14 11:00,113.74,0,4,JP_0,Suzaka,JP_0_205007141013
2050-07-14 11:08,2050-07-14 12:00,74.52,0,2,JP_0,Annaka,JP_0_205007141108
2050-07-14 13:52,2050-07-14 15:00,911.28,0,30,JP_0,Hita,JP_0_205007141352
2050-07-14 16:03,2050-07-14 17:00,506.28,0,17,JP_0,Yao,JP_0_205007141603
2050-07-14 17:06,2050-07-14 18:00,60.05,0,2,JP_0,Iwade,JP_0_205007141706
2050-07-14 18:19,2050-07-14 19:00,147.47,0,5,JP_0,Komono,JP_0_205007141819
2050-07-14 19:09,2050-07-14 20:00,76.56,0,2,JP_0,Toba,JP_0_205007141909
2050-07-14 20:21,2050-07-14 21:00,186.96,0,6,JP_0,Gero,JP_0_205007142021
2050-07-14 21:09,2050-07-14 22:00,74.98,0,2,JP_0,Ina,JP_0_205007142109
2050-07-14 22:13,2050-07-14 23:00,106.98,0,4,JP_0,Suzaka,JP_0_205007142213
2050-07-14 23:08,2050-07-15 00:00,72.33,0,2,JP_0,Annaka,JP_0_205007142308
2050-07-15 01:52,2050-07-15 03:00,836.89,0,30,JP_0,Hita,JP_0_205007150152
2050-07-15 04:03,2050-07-15 05:00,532.65,0,17,JP_0,Yao,JP_0_205007150403
2050-07-15 05:06,2050-07-15 06:00,56.12,0,2,JP_0,Iwade,JP_0_205007150506
2050-07-15 06:19,2050-07-15 07:00,149.08,0,5,JP_0,Komono,JP_0_205007150619
2050-07-15 07:09,2050-07-15 08:00,72.05,0,2,JP_0,Toba,JP_0_205007150709
2050-07-15 08:21,2050-07-15 09:00,167.74,0,6,JP_0,Gero,JP_0_205007150821
2050-07-15 09:09,2050-07-15 10:00,81.8,0,2,JP_0,Ina,JP_0_205007150909
2050-07-15 10:13,2050-07-15 11:00,121.62,0,4,JP_0,Suzaka,JP_0_205007151013
2050-07-15 11:08,2050-07-15 12:00,66.48,0,2,JP_0,Annaka,JP_0_205007151108
2050-07-15 13:52,2050-07-15 15:00,901.98,0,30,JP_0,Hita,JP_0_205007151352
2050-07-15 16:03,2050-07-15 17:00,516.83,0,17,JP_0,Yao,JP_0_205007151603
2050-07-15 17:06,2050-07-15 18:00,60.05,0,2,JP_0,Iwade,JP_0_205007151706
2050-07-15 18:19,2050-07-15 19:00,171.52,0,5,JP_0,Komono,JP_0_205007151819
2050-07-15 19:09,2050-07-15 20:00,68.3,0,2,JP_0,Toba,JP_0_205007151909
2050-07-15 20:21,2050-07-15 21:00,185.21,0,6,JP_0,Gero,JP_0_205007152021
2050-07-15 21:09,2050-07-15 22:00,73.47,0,2,JP_0,Ina,JP_0_205007152109
2050-07-15 22:13,2050-07-15 23:00,103.6,0,4,JP_0,Suzaka,JP_0_205007152213
2050-07-15 23:08,2050-07-16 00:00,69.41,0,2,JP_0,Annaka,JP_0_205007152308
2050-07-16 01:52,2050-07-16 03:00,1004.27,0,30,JP_0,Hita,JP_0_205007160152
2050-07-16 04:03,2050-07-16 05:00,485.18,0,17,JP_0,Yao,JP_0_205007160403
2050-07-16 05:06,2050-07-16 06:00,57.24,0,2,JP_0,Iwade,JP_0_205007160506
2050-07-16 06:19,2050-07-16 07:00,171.52,0,5,JP_0,Komono,JP_0_205007160619
2050-07-16 07:09,2050-07-16 08:00,70.55,0,2,JP_0,Toba,JP_0_205007160709
2050-07-16 09:09,2050-07-16 10:00,68.17,0,3,JP_0,Ina,JP_0_205007160909
2050-07-16 10:13,2050-07-16 11:00,104.73,0,4,JP_0,Suzaka,JP_0_205007161013
2050-07-16 11:08,2050-07-16 12:00,73.79,0,2,JP_0,Annaka,JP_0_205007161108
2050-07-16 13:52,2050-07-16 15:00,994.97,0,32,JP_0,Hita,JP_0_205007161352
2050-07-16 16:03,2050-07-16 17:00,501.01,0,21,JP_0,Yao,JP_0_205007161603
2050-07-16 17:06,2050-07-16 18:00,60.61,0,2,JP_0,Iwade,JP_0_205007161706
2050-07-16 18:19,2050-07-16 19:00,161.9,0,6,JP_0,Komono,JP_0_205007161819
2050-07-16 19:09,2050-07-16 20:00,69.05,0,3,JP_0,Toba,JP_0_205007161909
2050-07-16 20:21,2050-07-16 21:00,178.22,0,7,JP_0,Gero,JP_0_205007162021
2050-07-16 21:09,2050-07-16 22:00,71.95,0,3,JP_0,Ina,JP_0_205007162109
