forecast_windspeed_kts,scheduled_arrival_datetime,scheduled_departure_datetime,service_id,station,station_call_id
6,2050-07-02 17:06,2050-07-02 18:00,JP_0,Iwade,JP_0_205007021706
2,2050-07-02 18:19,2050-07-02 19:00,JP_0,Komono,JP_0_205007021819
4,2050-07-02 19:09,2050-07-02 20:00,JP_0,Toba,JP_0_205007021909
0,2050-07-02 20:21,2050-07-02 21:00,JP_0,Gero,JP_0_205007022021
6,2050-07-02 21:09,2050-07-02 22:00,JP_0,Ina,JP_0_205007022109
6,2050-07-02 22:13,2050-07-02 23:00,JP_0,Suzaka,JP_0_205007022213
4,2050-07-02 23:08,2050-07-03 00:00,JP_0,Annaka,JP_0_205007022308
1,2050-07-03 01:52,2050-07-03 03:00,JP_0,Hita,JP_0_205007030152
8,2050-07-03 04:03,2050-07-03 05:00,JP_0,Yao,JP_0_205007030403
11,2050-07-03 05:06,2050-07-03 06:00,JP_0,Iwade,JP_0_205007030506
10,2050-07-03 06:19,2050-07-03 07:00,JP_0,Komono,JP_0_205007030619
13,2050-07-03 07:09,2050-07-03 08:00,JP_0,Toba,JP_0_205007030709
14,2050-07-03 08:21,2050-07-03 09:00,JP_0,Gero,JP_0_205007030821
15,2050-07-03 09:09,2050-07-03 10:00,JP_0,Ina,JP_0_205007030909
18,2050-07-03 10:13,2050-07-03 11:00,JP_0,Suzaka,JP_0_205007031013
18,2050-07-03 11:08,2050-07-03 12:00,JP_0,Annaka,JP_0_205007031108
19,2050-07-03 13:52,2050-07-03 15:00,JP_0,Hita,JP_0_205007031352
21,2050-07-03 16:03,2050-07-03 17:00,JP_0,Yao,JP_0_205007031603
18,2050-07-03 17:06,2050-07-03 18:00,JP_0,Iwade,JP_0_205007031706
14,2050-07-03 18:19,2050-07-03 19:00,JP_0,Komono,JP_0_205007031819
12,2050-07-03 19:09,2050-07-03 20:00,JP_0,Toba,JP_0_205007031909
11,2050-07-03 20:21,2050-07-03 21:00,JP_0,Gero,JP_0_205007032021
10,2050-07-03 21:09,2050-07-03 22:00,JP_0,Ina,JP_0_205007032109
7,2050-07-03 22:13,2050-07-03 23:00,JP_0,Suzaka,JP_0_205007032213
6,2050-07-03 23:08,2050-07-04 00:00,JP_0,Annaka,JP_0_205007032308
11,2050-07-04 01:52,2050-07-04 03:00,JP_0,Hita,JP_0_205007040152
9,2050-07-04 04:03,2050-07-04 05:00,JP_0,Yao,JP_0_205007040403
11,2050-07-04 05:06,2050-07-04 06:00,JP_0,Iwade,JP_0_205007040506
6,2050-07-04 06:19,2050-07-04 07:00,JP_0,Komono,JP_0_205007040619
3,2050-07-04 07:09,2050-07-04 08:00,JP_0,Toba,JP_0_205007040709
4,2050-07-04 08:21,2050-07-04 09:00,JP_0,Gero,JP_0_205007040821
5,2050-07-04 09:09,2050-07-04 10:00,JP_0,Ina,JP_0_205007040909
2,2050-07-04 10:13,2050-07-04 11:00,JP_0,Suzaka,JP_0_205007041013
0,2050-07-04 11:08,2050-07-04 12:00,JP_0,Annaka,JP_0_205007041108
0,2050-07-04 13:52,2050-07-04 15:00,JP_0,Hita,JP_0_205007041352
1,2050-07-04 16:03,2050-07-04 17:00,JP_0,Yao,JP_0_205007041603
0,2050-07-04 17:06,2050-07-04 18:00,JP_0,Iwade,JP_0_205007041706
4,2050-07-04 18:19,2050-07-04 19:00,JP_0,Komono,JP_0_205007041819
5,2050-07-04 19:09,2050-07-04 20:00,JP_0,Toba,JP_0_205007041909
3,2050-07-04 20:21,2050-07-04 21:00,JP_0,Gero,JP_0_205007042021
4,2050-07-04 21:09,2050-07-04 22:00,JP_0,Ina,JP_0_205007042109
1,2050-07-04 22:13,2050-07-04 23:00,JP_0,Suzaka,JP_0_205007042213
1,2050-07-04 23:08,2050-07-05 00:00,JP_0,Annaka,JP_0_205007042308
1,2050-07-05 01:52,2050-07-05 03:00,JP_0,Hita,JP_0_205007050152
0,2050-07-05 04:03,2050-07-05 05:00,JP_0,Yao,JP_0_205007050403
0,2050-07-05 05:06,2050-07-05 06:00,JP_0,Iwade,JP_0_205007050506
5,2050-07-05 06:19,2050-07-05 07:00,JP_0,Komono,JP_0_205007050619
6,2050-07-05 07:09,2050-07-05 08:00,JP_0,Toba,JP_0_205007050709
6,2050-07-05 08:21,2050-07-05 09:00,JP_0,Gero,JP_0_205007050821
5,2050-07-05 09:09,2050-07-05 10:00,JP_0,Ina,JP_0_205007050909
7,2050-07-05 10:13,2050-07-05 11:00,JP_0,Suzaka,JP_0_205007051013
6,2050-07-05 11:08,2050-07-05 12:00,JP_0,Annaka,JP_0_205007051108
6,2050-07-05 13:52,2050-07-05 15:00,JP_0,Hita,JP_0_205007051352
8,2050-07-05 16:03,2050-07-05 17:00,JP_0,Yao,JP_0_205007051603
8,2050-07-05 17:06,2050-07-05 18:00,JP_0,Iwade,JP_0_205007051706
6,2050-07-05 18:19,2050-07-05 19:00,JP_0,Komono,JP_0_205007051819
6,2050-07-05 19:09,2050-07-05 20:00,JP_0,Toba,JP_0_205007051909
6,2050-07-05 20:21,2050-07-05 21:00,JP_0,Gero,JP_0_205007052021
8,2050-07-05 21:09,2050-07-05 22:00,JP_0,Ina,JP_0_205007052109
9,2050-07-05 22:13,2050-07-05 23:00,JP_0,Suzaka,JP_0_205007052213
10,2050-07-05 23:08,2050-07-06 00:00,JP_0,Annaka,JP_0_205007052308
7,2050-07-06 01:52,2050-07-06 03:00,JP_0,Hita,JP_0_205007060152
8,2050-07-06 04:03,2050-07-06 05:00,JP_0,Yao,JP_0_205007060403
3,2050-07-06 05:06,2050-07-06 06:00,JP_0,Iwade,JP_0_205007060506
3,2050-07-06 06:19,2050-07-06 07:00,JP_0,Komono,JP_0_205007060619
0,2050-07-06 07:09,2050-07-06 08:00,JP_0,Toba,JP_0_205007060709
0,2050-07-06 08:21,2050-07-06 09:00,JP_0,Gero,JP_0_205007060821
0,2050-07-06 09:09,2050-07-06 10:00,JP_0,Ina,JP_0_205007060909
2,2050-07-06 10:13,2050-07-06 11:00,JP_0,Suzaka,JP_0_205007061013
1,2050-07-06 11:08,2050-07-06 12:00,JP_0,Annaka,JP_0_205007061108
0,2050-07-06 13:52,2050-07-06 15:00,JP_0,Hita,JP_0_205007061352
0,2050-07-06 16:03,2050-07-06 17:00,JP_0,Yao,JP_0_205007061603
0,2050-07-06 17:06,2050-07-06 18:00,JP_0,Iwade,JP_0_205007061706
6,2050-07-06 18:19,2050-07-06 19:00,JP_0,Komono,JP_0_205007061819
2,2050-07-06 19:09,2050-07-06 20:00,JP_0,Toba,JP_0_205007061909
4,2050-07-06 20:21,2050-07-06 21:00,JP_0,Gero,JP_0_205007062021
2,2050-07-06 21:09,2050-07-06 22:00,JP_0,Ina,JP_0_205007062109
5,2050-07-06 22:13,2050-07-06 23:00,JP_0,Suzaka,JP_0_205007062213
3,2050-07-06 23:08,2050-07-07 00:00,JP_0,Annaka,JP_0_205007062308
2,2050-07-07 01:52,2050-07-07 03:00,JP_0,Hita,JP_0_205007070152
3,2050-07-07 04:03,2050-07-07 05:00,JP_0,Yao,JP_0_205007070403
2,2050-07-07 05:06,2050-07-07 06:00,JP_0,Iwade,JP_0_205007070506
0,2050-07-07 06:19,2050-07-07 07:00,JP_0,Komono,JP_0_205007070619
0,2050-07-07 07:09,2050-07-07 08:00,JP_0,Toba,JP_0_205007070709
2,2050-07-07 08:21,2050-07-07 09:00,JP_0,Gero,JP_0_205007070821
4,2050-07-07 09:09,2050-07-07 10:00,JP_0,Ina,JP_0_205007070909
5,2050-07-07 10:13,2050-07-07 11:00,JP_0,Suzaka,JP_0_205007071013
7,2050-07-07 11:08,2050-07-07 12:00,JP_0,Annaka,JP_0_205007071108
4,2050-07-07 13:52,2050-07-07 15:00,JP_0,Hita,JP_0_205007071352
6,2050-07-07 16:03,2050-07-07 17:00,JP_0,Yao,JP_0_205007071603
4,2050-07-07 17:06,2050-07-07 18:00,JP_0,Iwade,JP_0_205007071706
5,2050-07-07 18:19,2050-07-07 19:00,JP_0,Komono,JP_0_205007071819
6,2050-07-07 19:09,2050-07-07 20:00,JP_0,Toba,JP_0_205007071909
8,2050-07-07 20:21,2050-07-07 21:00,JP_0,Gero,JP_0_205007072021
9,2050-07-07 21:09,2050-07-07 22:00,JP_0,Ina,JP_0_205007072109
5,2050-07-07 22:13,2050-07-07 23:00,JP_0,Suzaka,JP_0_205007072213
3,2050-07-07 23:08,2050-07-08 00:00,JP_0,Annaka,JP_0_205007072308
2,2050-07-08 01:52,2050-07-08 03:00,JP_0,Hita,JP_0_205007080152
2,2050-07-08 04:03,2050-07-08 05:00,JP_0,Yao,JP_0_205007080403
4,2050-07-08 05:06,2050-07-08 06:00,JP_0,Iwade,JP_0_205007080506
2,2050-07-08 06:19,2050-07-08 07:00,JP_0,Komono,JP_0_205007080619
3,2050-07-08 07:09,2050-07-08 08:00,JP_0,Toba,JP_0_205007080709
6,2050-07-08 08:21,2050-07-08 09:00,JP_0,Gero,JP_0_205007080821
5,2050-07-08 09:09,2050-07-08 10:00,JP_0,Ina,JP_0_205007080909
6,2050-07-08 10:13,2050-07-08 11:00,JP_0,Suzaka,JP_0_205007081013
10,2050-07-08 11:08,2050-07-08 12:00,JP_0,Annaka,JP_0_205007081108
13,2050-07-08 13:52,2050-07-08 15:00,JP_0,Hita,JP_0_205007081352
12,2050-07-08 16:03,2050-07-08 17:00,JP_0,Yao,JP_0_205007081603
17,2050-07-08 17:06,2050-07-08 18:00,JP_0,Iwade,JP_0_205007081706
14,2050-07-08 18:19,2050-07-08 19:00,JP_0,Komono,JP_0_205007081819
16,2050-07-08 19:09,2050-07-08 20:00,JP_0,Toba,JP_0_205007081909
15,2050-07-08 20:21,2050-07-08 21:00,JP_0,Gero,JP_0_205007082021
14,2050-07-08 21:09,2050-07-08 22:00,JP_0,Ina,JP_0_205007082109
15,2050-07-08 22:13,2050-07-08 23:00,JP_0,Suzaka,JP_0_205007082213
17,2050-07-08 23:08,2050-07-09 00:00,JP_0,Annaka,JP_0_205007082308
21,2050-07-09 01:52,2050-07-09 03:00,JP_0,Hita,JP_0_205007090152
21,2050-07-09 04:03,2050-07-09 05:00,JP_0,Yao,JP_0_205007090403
20,2050-07-09 05:06,2050-07-09 06:00,JP_0,Iwade,JP_0_205007090506
19,2050-07-09 06:19,2050-07-09 07:00,JP_0,Komono,JP_0_205007090619
20,2050-07-09 07:09,2050-07-09 08:00,JP_0,Toba,JP_0_205007090709
20,2050-07-09 08:21,2050-07-09 09:00,JP_0,Gero,JP_0_205007090821
18,2050-07-09 09:09,2050-07-09 10:00,JP_0,Ina,JP_0_205007090909
19,2050-07-09 10:13,2050-07-09 11:00,JP_0,Suzaka,JP_0_205007091013
20,2050-07-09 11:08,2050-07-09 12:00,JP_0,Annaka,JP_0_205007091108
20,2050-07-09 13:52,2050-07-09 15:00,JP_0,Hita,JP_0_205007091352
19,2050-07-09 16:03,2050-07-09 17:00,JP_0,Yao,JP_0_205007091603
18,2050-07-09 17:06,2050-07-09 18:00,JP_0,Iwade,JP_0_205007091706
18,2050-07-09 18:19,2050-07-09 19:00,JP_0,Komono,JP_0_205007091819
12,2050-07-09 19:09,2050-07-09 20:00,JP_0,Toba,JP_0_205007091909
11,2050-07-09 20:21,2050-07-09 21:00,JP_0,Gero,JP_0_205007092021
8,2050-07-09 21:09,2050-07-09 22:00,JP_0,Ina,JP_0_205007092109
10,2050-07-09 22:13,2050-07-09 23:00,JP_0,Suzaka,JP_0_205007092213
6,2050-07-09 23:08,2050-07-10 00:00,JP_0,Annaka,JP_0_205007092308
2,2050-07-10 01:52,2050-07-10 03:00,JP_0,Hita,JP_0_205007100152
0,2050-07-10 04:03,2050-07-10 05:00,JP_0,Yao,JP_0_205007100403
0,2050-07-10 05:06,2050-07-10 06:00,JP_0,Iwade,JP_0_205007100506
6,2050-07-10 06:19,2050-07-10 07:00,JP_0,Komono,JP_0_205007100619
6,2050-07-10 07:09,2050-07-10 08:00,JP_0,Toba,JP_0_205007100709
8,2050-07-10 08:21,2050-07-10 09:00,JP_0,Gero,JP_0_205007100821
3,2050-07-10 09:09,2050-07-10 10:00,JP_0,Ina,JP_0_205007100909
3,2050-07-10 10:13,2050-07-10 11:00,JP_0,Suzaka,JP_0_205007101013
6,2050-07-10 11:08,2050-07-10 12:00,JP_0,Annaka,JP_0_205007101108
6,2050-07-10 13:52,2050-07-10 15:00,JP_0,Hita,JP_0_205007101352
5,2050-07-10 16:03,2050-07-10 17:00,JP_0,Yao,JP_0_205007101603
5,2050-07-10 17:06,2050-07-10 18:00,JP_0,Iwade,JP_0_205007101706
6,2050-07-10 18:19,2050-07-10 19:00,JP_0,Komono,JP_0_205007101819
5,2050-07-10 19:09,2050-07-10 20:00,JP_0,Toba,JP_0_205007101909
7,2050-07-10 20:21,2050-07-10 21:00,JP_0,Gero,JP_0_205007102021
6,2050-07-10 21:09,2050-07-10 22:00,JP_0,Ina,JP_0_205007102109
4,2050-07-10 22:13,2050-07-10 23:00,JP_0,Suzaka,JP_0_205007102213
2,2050-07-10 23:08,2050-07-11 00:00,JP_0,Annaka,JP_0_205007102308
3,2050-07-11 01:52,2050-07-11 03:00,JP_0,Hita,JP_0_205007110152
4,2050-07-11 04:03,2050-07-11 05:00,JP_0,Yao,JP_0_205007110403
3,2050-07-11 05:06,2050-07-11 06:00,JP_0,Iwade,JP_0_205007110506
1,2050-07-11 06:19,2050-07-11 07:00,JP_0,Komono,JP_0_205007110619
1,2050-07-11 07:09,2050-07-11 08:00,JP_0,Toba,JP_0_205007110709
0,2050-07-11 08:21,2050-07-11 09:00,JP_0,Gero,JP_0_205007110821
1,2050-07-11 09:09,2050-07-11 10:00,JP_0,Ina,JP_0_205007110909
1,2050-07-11 10:13,2050-07-11 11:00,JP_0,Suzaka,JP_0_205007111013
6,2050-07-11 11:08,2050-07-11 12:00,JP_0,Annaka,JP_0_205007111108
9,2050-07-11 13:52,2050-07-11 15:00,JP_0,Hita,JP_0_205007111352
6,2050-07-11 16:03,2050-07-11 17:00,JP_0,Yao,JP_0_205007111603
4,2050-07-11 17:06,2050-07-11 18:00,JP_0,Iwade,JP_0_205007111706
2,2050-07-11 18:19,2050-07-11 19:00,JP_0,Komono,JP_0_205007111819
1,2050-07-11 19:09,2050-07-11 20:00,JP_0,Toba,JP_0_205007111909
1,2050-07-11 20:21,2050-07-11 21:00,JP_0,Gero,JP_0_205007112021
5,2050-07-11 21:09,2050-07-11 22:00,JP_0,Ina,JP_0_205007112109
5,2050-07-11 22:13,2050-07-11 23:00,JP_0,Suzaka,JP_0_205007112213
5,2050-07-11 23:08,2050-07-12 00:00,JP_0,Annaka,JP_0_205007112308
6,2050-07-12 01:52,2050-07-12 03:00,JP_0,Hita,JP_0_205007120152
7,2050-07-12 04:03,2050-07-12 05:00,JP_0,Yao,JP_0_205007120403
8,2050-07-12 05:06,2050-07-12 06:00,JP_0,Iwade,JP_0_205007120506
9,2050-07-12 06:19,2050-07-12 07:00,JP_0,Komono,JP_0_205007120619
8,2050-07-12 07:09,2050-07-12 08:00,JP_0,Toba,JP_0_205007120709
11,2050-07-12 08:21,2050-07-12 09:00,JP_0,Gero,JP_0_205007120821
9,2050-07-12 09:09,2050-07-12 10:00,JP_0,Ina,JP_0_205007120909
10,2050-07-12 10:13,2050-07-12 11:00,JP_0,Suzaka,JP_0_205007121013
11,2050-07-12 11:08,2050-07-12 12:00,JP_0,Annaka,JP_0_205007121108
9,2050-07-12 13:52,2050-07-12 15:00,JP_0,Hita,JP_0_205007121352
11,2050-07-12 16:03,2050-07-12 17:00,JP_0,Yao,JP_0_205007121603
9,2050-07-12 17:06,2050-07-12 18:00,JP_0,Iwade,JP_0_205007121706
4,2050-07-12 18:19,2050-07-12 19:00,JP_0,Komono,JP_0_205007121819
3,2050-07-12 19:09,2050-07-12 20:00,JP_0,Toba,JP_0_205007121909
6,2050-07-12 20:21,2050-07-12 21:00,JP_0,Gero,JP_0_205007122021
4,2050-07-12 21:09,2050-07-12 22:00,JP_0,Ina,JP_0_205007122109
2,2050-07-12 22:13,2050-07-12 23:00,JP_0,Suzaka,JP_0_205007122213
4,2050-07-12 23:08,2050-07-13 00:00,JP_0,Annaka,JP_0_205007122308
4,2050-07-13 01:52,2050-07-13 03:00,JP_0,Hita,JP_0_205007130152
2,2050-07-13 04:03,2050-07-13 05:00,JP_0,Yao,JP_0_205007130403
1,2050-07-13 05:06,2050-07-13 06:00,JP_0,Iwade,JP_0_205007130506
2,2050-07-13 06:19,2050-07-13 07:00,JP_0,Komono,JP_0_205007130619
8,2050-07-13 07:09,2050-07-13 08:00,JP_0,Toba,JP_0_205007130709
4,2050-07-13 08:21,2050-07-13 09:00,JP_0,Gero,JP_0_205007130821
7,2050-07-13 09:09,2050-07-13 10:00,JP_0,Ina,JP_0_205007130909
7,2050-07-13 10:13,2050-07-13 11:00,JP_0,Suzaka,JP_0_205007131013
4,2050-07-13 11:08,2050-07-13 12:00,JP_0,Annaka,JP_0_205007131108
6,2050-07-13 13:52,2050-07-13 15:00,JP_0,Hita,JP_0_205007131352
9,2050-07-13 16:03,2050-07-13 17:00,JP_0,Yao,JP_0_205007131603
5,2050-07-13 17:06,2050-07-13 18:00,JP_0,Iwade,JP_0_205007131706
11,2050-07-13 18:19,2050-07-13 19:00,JP_0,Komono,JP_0_205007131819
12,2050-07-13 19:09,2050-07-13 20:00,JP_0,Toba,JP_0_205007131909
10,2050-07-13 20:21,2050-07-13 21:00,JP_0,Gero,JP_0_205007132021
12,2050-07-13 21:09,2050-07-13 22:00,JP_0,Ina,JP_0_205007132109
10,2050-07-13 22:13,2050-07-13 23:00,JP_0,Suzaka,JP_0_205007132213
11,2050-07-13 23:08,2050-07-14 00:00,JP_0,Annaka,JP_0_205007132308
12,2050-07-14 01:52,2050-07-14 03:00,JP_0,Hita,JP_0_205007140152
14,2050-07-14 04:03,2050-07-14 05:00,JP_0,Yao,JP_0_205007140403
8,2050-07-14 05:06,2050-07-14 06:00,JP_0,Iwade,JP_0_205007140506
8,2050-07-14 06:19,2050-07-14 07:00,JP_0,Komono,JP_0_205007140619
8,2050-07-14 07:09,2050-07-14 08:00,JP_0,Toba,JP_0_205007140709
9,2050-07-14 08:21,2050-07-14 09:00,JP_0,Gero,JP_0_205007140821
6,2050-07-14 09:09,2050-07-14 10:00,JP_0,Ina,JP_0_205007140909
7,2050-07-14 10:13,2050-07-14 11:00,JP_0,Suzaka,JP_0_205007141013
3,2050-07-14 11:08,2050-07-14 12:00,JP_0,Annaka,JP_0_205007141108
1,2050-07-14 13:52,2050-07-14 15:00,JP_0,Hita,JP_0_205007141352
4,2050-07-14 16:03,2050-07-14 17:00,JP_0,Yao,JP_0_205007141603
5,2050-07-14 17:06,2050-07-14 18:00,JP_0,Iwade,JP_0_205007141706
4,2050-07-14 18:19,2050-07-14 19:00,JP_0,Komono,JP_0_205007141819
1,2050-07-14 19:09,2050-07-14 20:00,JP_0,Toba,JP_0_205007141909
0,2050-07-14 20:21,2050-07-14 21:00,JP_0,Gero,JP_0_205007142021
2,2050-07-14 21:09,2050-07-14 22:00,JP_0,Ina,JP_0_205007142109
3,2050-07-14 22:13,2050-07-14 23:00,JP_0,Suzaka,JP_0_205007142213
2,2050-07-14 23:08,2050-07-15 00:00,JP_0,Annaka,JP_0_205007142308
2,2050-07-15 01:52,2050-07-15 03:00,JP_0,Hita,JP_0_205007150152
0,2050-07-15 04:03,2050-07-15 05:00,JP_0,Yao,JP_0_205007150403
1,2050-07-15 05:06,2050-07-15 06:00,JP_0,Iwade,JP_0_205007150506
2,2050-07-15 06:19,2050-07-15 07:00,JP_0,Komono,JP_0_205007150619
1,2050-07-15 07:09,2050-07-15 08:00,JP_0,Toba,JP_0_205007150709
1,2050-07-15 08:21,2050-07-15 09:00,JP_0,Gero,JP_0_205007150821
1,2050-07-15 09:09,2050-07-15 10:00,JP_0,Ina,JP_0_205007150909
1,2050-07-15 10:13,2050-07-15 11:00,JP_0,Suzaka,JP_0_205007151013
0,2050-07-15 11:08,2050-07-15 12:00,JP_0,Annaka,JP_0_205007151108
4,2050-07-15 13:52,2050-07-15 15:00,JP_0,Hita,JP_0_205007151352
2,2050-07-15 16:03,2050-07-15 17:00,JP_0,Yao,JP_0_205007151603
7,2050-07-15 17:06,2050-07-15 18:00,JP_0,Iwade,JP_0_205007151706
2,2050-07-15 18:19,2050-07-15 19:00,JP_0,Komono,JP_0_205007151819
1,2050-07-15 19:09,2050-07-15 20:00,JP_0,Toba,JP_0_205007151909
0,2050-07-15 20:21,2050-07-15 21:00,JP_0,Gero,JP_0_205007152021
0,2050-07-15 21:09,2050-07-15 22:00,JP_0,Ina,JP_0_205007152109
1,2050-07-15 22:13,2050-07-15 23:00,JP_0,Suzaka,JP_0_205007152213
1,2050-07-15 23:08,2050-07-16 00:00,JP_0,Annaka,JP_0_205007152308
0,2050-07-16 01:52,2050-07-16 03:00,JP_0,Hita,JP_0_205007160152
6,2050-07-16 04:03,2050-07-16 05:00,JP_0,Yao,JP_0_205007160403
6,2050-07-16 05:06,2050-07-16 06:00,JP_0,Iwade,JP_0_205007160506
5,2050-07-16 06:19,2050-07-16 07:00,JP_0,Komono,JP_0_205007160619
11,2050-07-16 07:09,2050-07-16 08:00,JP_0,Toba,JP_0_205007160709
11,2050-07-16 08:21,2050-07-16 09:00,JP_0,Gero,JP_0_205007160821
12,2050-07-16 09:09,2050-07-16 10:00,JP_0,Ina,JP_0_205007160909
6,2050-07-16 10:13,2050-07-16 11:00,JP_0,Suzaka,JP_0_205007161013
6,2050-07-16 11:08,2050-07-16 12:00,JP_0,Annaka,JP_0_205007161108
10,2050-07-16 13:52,2050-07-16 15:00,JP_0,Hita,JP_0_205007161352
13,2050-07-16 16:03,2050-07-16 17:00,JP_0,Yao,JP_0_205007161603
12,2050-07-16 17:06,2050-07-16 18:00,JP_0,Iwade,JP_0_205007161706
12,2050-07-16 18:19,2050-07-16 19:00,JP_0,Komono,JP_0_205007161819
12,2050-07-16 19:09,2050-07-16 20:00,JP_0,Toba,JP_0_205007161909
12,2050-07-16 20:21,2050-07-16 21:00,JP_0,Gero,JP_0_205007162021
14,2050-07-16 21:09,2050-07-16 22:00,JP_0,Ina,JP_0_205007162109
13,2050-07-16 22:13,2050-07-16 23:00,JP_0,Suzaka,JP_0_205007162213
12,2050-07-16 23:08,2050-07-17 00:00,JP_0,Annaka,JP_0_205007162308
12,2050-07-17 01:52,2050-07-17 03:00,JP_0,Hita,JP_0_205007170152
11,2050-07-17 04:03,2050-07-17 05:00,JP_0,Yao,JP_0_205007170403
19,2050-07-17 05:06,2050-07-17 06:00,JP_0,Iwade,JP_0_205007170506
16,2050-07-17 06:19,2050-07-17 07:00,JP_0,Komono,JP_0_205007170619
17,2050-07-17 07:09,2050-07-17 08:00,JP_0,Toba,JP_0_205007170709
19,2050-07-17 08:21,2050-07-17 09:00,JP_0,Gero,JP_0_205007170821
19,2050-07-17 09:09,2050-07-17 10:00,JP_0,Ina,JP_0_205007170909
16,2050-07-17 10:13,2050-07-17 11:00,JP_0,Suzaka,JP_0_205007171013
19,2050-07-17 11:08,2050-07-17 12:00,JP_0,Annaka,JP_0_205007171108
23,2050-07-17 13:52,2050-07-17 15:00,JP_0,Hita,JP_0_205007171352
19,2050-07-17 16:03,2050-07-17 17:00,JP_0,Yao,JP_0_205007171603
19,2050-07-17 17:06,2050-07-17 18:00,JP_0,Iwade,JP_0_205007171706
22,2050-07-17 18:19,2050-07-17 19:00,JP_0,Komono,JP_0_205007171819
25,2050-07-17 19:09,2050-07-17 20:00,JP_0,Toba,JP_0_205007171909
23,2050-07-17 20:21,2050-07-17 21:00,JP_0,Gero,JP_0_205007172021
24,2050-07-17 21:09,2050-07-17 22:00,JP_0,Ina,JP_0_205007172109
23,2050-07-17 22:13,2050-07-17 23:00,JP_0,Suzaka,JP_0_205007172213
23,2050-07-17 23:08,2050-07-18 00:00,JP_0,Annaka,JP_0_205007172308
24,2050-07-18 01:52,2050-07-18 03:00,JP_0,Hita,JP_0_205007180152
24,2050-07-18 04:03,2050-07-18 05:00,JP_0,Yao,JP_0_205007180403
25,2050-07-18 05:06,2050-07-18 06:00,JP_0,Iwade,JP_0_205007180506
24,2050-07-18 06:19,2050-07-18 07:00,JP_0,Komono,JP_0_205007180619
32,2050-07-18 07:09,2050-07-18 08:00,JP_0,Toba,JP_0_205007180709
33,2050-07-18 08:21,2050-07-18 09:00,JP_0,Gero,JP_0_205007180821
29,2050-07-18 09:09,2050-07-18 10:00,JP_0,Ina,JP_0_205007180909
33,2050-07-18 10:13,2050-07-18 11:00,JP_0,Suzaka,JP_0_205007181013
27,2050-07-18 11:08,2050-07-18 12:00,JP_0,Annaka,JP_0_205007181108
31,2050-07-18 13:52,2050-07-18 15:00,JP_0,Hita,JP_0_205007181352
29,2050-07-18 16:03,2050-07-18 17:00,JP_0,Yao,JP_0_205007181603
26,2050-07-18 17:06,2050-07-18 18:00,JP_0,Iwade,JP_0_205007181706
33,2050-07-18 18:19,2050-07-18 19:00,JP_0,Komono,JP_0_205007181819
32,2050-07-18 19:09,2050-07-18 20:00,JP_0,Toba,JP_0_205007181909
32,2050-07-18 20:21,2050-07-18 21:00,JP_0,Gero,JP_0_205007182021
31,2050-07-18 21:09,2050-07-18 22:00,JP_0,Ina,JP_0_205007182109
